model,train_ratio,reduction,f_score
DecisionTreeClassifier,0.5,0.0,0.3837452869710934
DecisionTreeClassifier,0.5,0.25,0.3403826787512589
DecisionTreeClassifier,0.5,0.5,0.27490542244640603
DecisionTreeClassifier,0.5,0.75,0.17602682313495388
DecisionTreeClassifier,0.5,0.99,0.01934703748488513
DecisionTreeClassifier,0.5,0.999,0.0
DecisionTreeClassifier,0.75,0.0,0.4101665205959684
DecisionTreeClassifier,0.75,0.25,0.3736730360934183
DecisionTreeClassifier,0.75,0.5,0.32620320855614976
DecisionTreeClassifier,0.75,0.75,0.20332717190388172
DecisionTreeClassifier,0.75,0.99,0.022535211267605635
DecisionTreeClassifier,0.75,0.999,0.0
DecisionTreeClassifier,0.9,0.0,0.3793814432989691
DecisionTreeClassifier,0.9,0.25,0.3241895261845386
DecisionTreeClassifier,0.9,0.5,0.2978723404255319
DecisionTreeClassifier,0.9,0.75,0.2151394422310757
DecisionTreeClassifier,0.9,0.99,0.011695906432748537
DecisionTreeClassifier,0.9,0.999,0.0
GaussianMixture,0.5,0.0,0.0
GaussianMixture,0.5,0.25,0.0
GaussianMixture,0.5,0.5,0.0
GaussianMixture,0.5,0.75,0.0
GaussianMixture,0.5,0.99,0.0
GaussianMixture,0.5,0.999,0.0
GaussianMixture,0.75,0.0,0.0
GaussianMixture,0.75,0.25,0.0
GaussianMixture,0.75,0.5,0.0
GaussianMixture,0.75,0.75,0.0
GaussianMixture,0.75,0.99,0.0
GaussianMixture,0.75,0.999,0.0
GaussianMixture,0.9,0.0,0.0
GaussianMixture,0.9,0.25,0.0
GaussianMixture,0.9,0.5,0.0
GaussianMixture,0.9,0.75,0.0
GaussianMixture,0.9,0.99,0.0
GaussianMixture,0.9,0.999,0.0
IsolationForest,0.5,0.0,0.021783526208304968
IsolationForest,0.5,0.25,0.021940928270042195
IsolationForest,0.5,0.5,0.022172949002217297
IsolationForest,0.5,0.75,0.012987012987012988
IsolationForest,0.5,0.99,0.0
IsolationForest,0.5,0.999,0.0
IsolationForest,0.75,0.0,0.0055172413793103435
IsolationForest,0.75,0.25,0.003430531732418525
IsolationForest,0.75,0.5,0.004514672686230248
IsolationForest,0.75,0.75,0.006600660066006601
IsolationForest,0.75,0.99,0.0
IsolationForest,0.75,0.999,0.0
IsolationForest,0.9,0.0,0.013698630136986302
IsolationForest,0.9,0.25,0.01702127659574468
IsolationForest,0.9,0.5,0.0
IsolationForest,0.9,0.75,0.0
IsolationForest,0.9,0.99,0.0
IsolationForest,0.9,0.999,0.0
KMeans,0.5,0.0,0.12680041152263374
KMeans,0.5,0.25,0.10218186746171568
KMeans,0.5,0.5,0.07475297150221967
KMeans,0.5,0.75,0.035077016928473384
KMeans,0.5,0.99,0.0009715025906735752
KMeans,0.5,0.999,0.0
KMeans,0.75,0.0,0.12414157422081352
KMeans,0.75,0.25,0.09762900976290098
KMeans,0.75,0.5,0.06623299822590183
KMeans,0.75,0.75,0.032065388242690986
KMeans,0.75,0.99,0.0013346680013346678
KMeans,0.75,0.999,0.0
KMeans,0.9,0.0,0.1168646080760095
KMeans,0.9,0.25,0.08838133068520357
KMeans,0.9,0.5,0.06821705426356589
KMeans,0.9,0.75,0.030418250950570346
KMeans,0.9,0.99,0.0011363636363636363
KMeans,0.9,0.999,0.0
LocalOutlierFactor,0.5,0.0,0.013206162876008804
LocalOutlierFactor,0.5,0.25,0.0055762081784386614
LocalOutlierFactor,0.5,0.5,0.012531328320802004
LocalOutlierFactor,0.5,0.75,0.0
LocalOutlierFactor,0.5,0.99,0.0
LocalOutlierFactor,0.5,0.999,0.0
LocalOutlierFactor,0.75,0.0,0.011283497884344148
LocalOutlierFactor,0.75,0.25,0.010582010582010581
LocalOutlierFactor,0.75,0.5,0.018691588785046728
LocalOutlierFactor,0.75,0.75,0.013986013986013986
LocalOutlierFactor,0.75,0.99,0.0
LocalOutlierFactor,0.75,0.999,0.0
LocalOutlierFactor,0.9,0.0,0.04316546762589928
LocalOutlierFactor,0.9,0.25,0.0365296803652968
LocalOutlierFactor,0.9,0.5,0.024844720496894408
LocalOutlierFactor,0.9,0.75,0.07476635514018691
LocalOutlierFactor,0.9,0.99,0.0
LocalOutlierFactor,0.9,0.999,0.0
LogisticRegression,0.5,0.0,0.4573268921095008
LogisticRegression,0.5,0.25,0.3974042027194067
LogisticRegression,0.5,0.5,0.3073545554335894
LogisticRegression,0.5,0.75,0.18482142857142858
LogisticRegression,0.5,0.99,0.011273957158962795
LogisticRegression,0.5,0.999,0.0011396011396011397
LogisticRegression,0.75,0.0,0.4497991967871485
LogisticRegression,0.75,0.25,0.3901319563970166
LogisticRegression,0.75,0.5,0.3103678929765886
LogisticRegression,0.75,0.75,0.1945337620578778
LogisticRegression,0.75,0.99,0.006054490413723512
LogisticRegression,0.75,0.999,0.0
LogisticRegression,0.9,0.0,0.4617346938775511
LogisticRegression,0.9,0.25,0.40583941605839413
LogisticRegression,0.9,0.5,0.3132530120481928
LogisticRegression,0.9,0.75,0.18410041841004182
LogisticRegression,0.9,0.99,0.0052493438320209964
LogisticRegression,0.9,0.999,0.0
SVC,0.5,0.0,0.5749599227126203
SVC,0.5,0.25,0.51639869833363
SVC,0.5,0.5,0.43465273101452995
SVC,0.5,0.75,0.29413676851091375
SVC,0.5,0.99,0.020250711386902286
SVC,0.5,0.999,0.002127659574468085
SVC,0.75,0.0,0.5985003408316292
SVC,0.75,0.25,0.5435139573070608
SVC,0.75,0.5,0.4645426515930114
SVC,0.75,0.75,0.29971988795518206
SVC,0.75,0.99,0.020964360587002094
SVC,0.75,0.999,0.0
SVC,0.9,0.0,0.5880398671096345
SVC,0.9,0.25,0.5250501002004008
SVC,0.9,0.5,0.4321608040201005
SVC,0.9,0.75,0.29900332225913623
SVC,0.9,0.99,0.0196078431372549
SVC,0.9,0.999,0.0
random_anomaly_perc,0.5,0.0,0.07207207207207209
random_anomaly_perc,0.5,0.25,0.06791687785098835
random_anomaly_perc,0.5,0.5,0.03233830845771144
random_anomaly_perc,0.5,0.75,0.03012912482065997
random_anomaly_perc,0.5,0.99,0.0
random_anomaly_perc,0.5,0.999,0.0
random_anomaly_perc,0.75,0.0,0.07162041181736796
random_anomaly_perc,0.75,0.25,0.046659597030752925
random_anomaly_perc,0.75,0.5,0.03317535545023697
random_anomaly_perc,0.75,0.75,0.024999999999999998
random_anomaly_perc,0.75,0.99,0.007782101167315174
random_anomaly_perc,0.75,0.999,0.0
random_anomaly_perc,0.9,0.0,0.030837004405286344
random_anomaly_perc,0.9,0.25,0.04488778054862843
random_anomaly_perc,0.9,0.5,0.030395136778115502
random_anomaly_perc,0.9,0.75,0.043165467625899276
random_anomaly_perc,0.9,0.99,0.0
random_anomaly_perc,0.9,0.999,0.0
random_half_half,0.5,0.0,0.11901400803561732
random_half_half,0.5,0.25,0.1019137652755361
random_half_half,0.5,0.5,0.06624909660322814
random_half_half,0.5,0.75,0.03678678678678678
random_half_half,0.5,0.99,0.0015989340439706862
random_half_half,0.5,0.999,0.0
random_half_half,0.75,0.0,0.12212738017071569
random_half_half,0.75,0.25,0.10231704519385179
random_half_half,0.75,0.5,0.06803377563329313
random_half_half,0.75,0.75,0.045177664974619294
random_half_half,0.75,0.99,0.0015944724953494552
random_half_half,0.75,0.999,0.0
random_half_half,0.9,0.0,0.12200435729847492
random_half_half,0.9,0.25,0.11014492753623188
random_half_half,0.9,0.5,0.07011289364230541
random_half_half,0.9,0.75,0.038560411311053984
random_half_half,0.9,0.99,0.0012903225806451615
random_half_half,0.9,0.999,0.0
random_ones,0.5,0.0,0.1310957782715472
random_ones,0.5,0.25,0.10157194679564692
random_ones,0.5,0.5,0.07008760951188986
random_ones,0.5,0.75,0.03631647211413749
random_ones,0.5,0.99,0.001478295927966671
random_ones,0.5,0.999,0.00013457139012245997
random_ones,0.75,0.0,0.13119738072965387
random_ones,0.75,0.25,0.10157194679564692
random_ones,0.75,0.5,0.07008760951188986
random_ones,0.75,0.75,0.03631647211413749
random_ones,0.75,0.99,0.0013440860215053765
random_ones,0.75,0.999,0.0
random_ones,0.9,0.0,0.1315020455873758
random_ones,0.9,0.25,0.10157194679564692
random_ones,0.9,0.5,0.07008760951188986
random_ones,0.9,0.75,0.03631647211413749
random_ones,0.9,0.99,0.0013440860215053765
random_ones,0.9,0.999,0.0
random_zeros,0.5,0.0,0.0
random_zeros,0.5,0.25,0.0
random_zeros,0.5,0.5,0.0
random_zeros,0.5,0.75,0.0
random_zeros,0.5,0.99,0.0
random_zeros,0.5,0.999,0.0
random_zeros,0.75,0.0,0.0
random_zeros,0.75,0.25,0.0
random_zeros,0.75,0.5,0.0
random_zeros,0.75,0.75,0.0
random_zeros,0.75,0.99,0.0
random_zeros,0.75,0.999,0.0
random_zeros,0.9,0.0,0.0
random_zeros,0.9,0.25,0.0
random_zeros,0.9,0.5,0.0
random_zeros,0.9,0.75,0.0
random_zeros,0.9,0.99,0.0
random_zeros,0.9,0.999,0.0
